packet_id,true_condition,scenario_id,seed,json_path,calibration
4643EDDF,C2,SC_0900,17,outputs/main/C2/SC_0900_17.json,False
47147FDE,C2,SC_0746,17,outputs/main/C2/SC_0746_17.json,False
1C87A4F8,C2,SC_0505,91,outputs/main/C2/SC_0505_91.json,False
AAAA0093,C2,SC_0605,42,outputs/main/C2/SC_0605_42.json,False
66A5797E,C2,SC_0132,91,outputs/main/C2/SC_0132_91.json,False
E6FF74B1,C2,SC_1954,42,outputs/main/C2/SC_1954_42.json,False
6B50A3B3,C2,SC_2231,42,outputs/main/C2/SC_2231_42.json,False
5E079250,C2,SC_1515,42,outputs/main/C2/SC_1515_42.json,False
8720A52F,C2,SC_1994,17,outputs/main/C2/SC_1994_17.json,False
25D683AE,C2,SC_1572,91,outputs/main/C2/SC_1572_91.json,False
D1ACC1DE,C2,SC_1973,42,outputs/main/C2/SC_1973_42.json,False
B117D7E0,C2,SC_0243,17,outputs/main/C2/SC_0243_17.json,False
A5E780E8,C2,SC_1691,42,outputs/main/C2/SC_1691_42.json,False
EED3FB99,C2,SC_0132,17,outputs/main/C2/SC_0132_17.json,False
C58B0AB5,C2,SC_0795,91,outputs/main/C2/SC_0795_91.json,False
5356495E,C2,SC_1994,91,outputs/main/C2/SC_1994_91.json,False
A07D8F85,C2,SC_1474,91,outputs/main/C2/SC_1474_91.json,False
D1355BF7,C2,SC_0046,91,outputs/main/C2/SC_0046_91.json,False
4D65B8D8,C2,SC_1817,17,outputs/main/C2/SC_1817_17.json,False
895CF115,C2,SC_1119,42,outputs/main/C2/SC_1119_42.json,False
56E873AC,C2,SC_1993,91,outputs/main/C2/SC_1993_91.json,False
5E1B7D5C,C2,SC_2074,17,outputs/main/C2/SC_2074_17.json,False
5BBDD66C,C2,SC_0946,91,outputs/main/C2/SC_0946_91.json,False
23798735,C2,SC_0222,42,outputs/main/C2/SC_0222_42.json,False
FE013B34,C2,SC_1030,42,outputs/main/C2/SC_1030_42.json,False
081E2625,C2,SC_2029,91,outputs/main/C2/SC_2029_91.json,False
6A173111,C2,SC_0809,91,outputs/main/C2/SC_0809_91.json,False
657A6CA2,C2,SC_1314,42,outputs/main/C2/SC_1314_42.json,False
E0417665,C2,SC_1429,91,outputs/main/C2/SC_1429_91.json,False
15A3FC04,C2,SC_0448,17,outputs/main/C2/SC_0448_17.json,False
8A7ECE2E,C2,SC_1363,42,outputs/main/C2/SC_1363_42.json,False
1397E370,C2,SC_1820,91,outputs/main/C2/SC_1820_91.json,False
2169774A,C2,SC_1281,42,outputs/main/C2/SC_1281_42.json,False
D35FA8F7,C2,SC_1116,17,outputs/main/C2/SC_1116_17.json,False
2216A0DB,C2,SC_0505,42,outputs/main/C2/SC_0505_42.json,False
F7B9D053,C2,SC_1993,42,outputs/main/C2/SC_1993_42.json,False
85061886,C2,SC_1925,42,outputs/main/C2/SC_1925_42.json,False
EE4C3AD4,C2,SC_0192,91,outputs/main/C2/SC_0192_91.json,False
A2BD91B7,C3,SC_0527,42,outputs/main/C3/SC_0527_42.json,False
B6233B47,C3,SC_1316,42,outputs/main/C3/SC_1316_42.json,False
1643C261,C3,SC_0097,42,outputs/main/C3/SC_0097_42.json,False
7BBE6DEA,C3,SC_0192,91,outputs/main/C3/SC_0192_91.json,False
9575EF88,C3,SC_1927,91,outputs/main/C3/SC_1927_91.json,False
66D42E9E,C3,SC_0407,91,outputs/main/C3/SC_0407_91.json,False
AE6E0B28,C3,SC_2156,91,outputs/main/C3/SC_2156_91.json,False
A8878C82,C3,SC_0871,91,outputs/main/C3/SC_0871_91.json,False
1B6411CC,C3,SC_2147,42,outputs/main/C3/SC_2147_42.json,False
60758417,C3,SC_0353,17,outputs/main/C3/SC_0353_17.json,False
2A84F0AC,C3,SC_0132,17,outputs/main/C3/SC_0132_17.json,False
999ECD4D,C3,SC_1119,91,outputs/main/C3/SC_1119_91.json,False
26992547,C3,SC_1974,17,outputs/main/C3/SC_1974_17.json,False
139C2C1A,C3,SC_2108,91,outputs/main/C3/SC_2108_91.json,False
CDF8F49B,C3,SC_0040,91,outputs/main/C3/SC_0040_91.json,False
C3B3AED2,C3,SC_1927,17,outputs/main/C3/SC_1927_17.json,False
EF450A88,C3,SC_1416,91,outputs/main/C3/SC_1416_91.json,False
9445FDE9,C3,SC_0487,17,outputs/main/C3/SC_0487_17.json,False
7CFBDAB6,C3,SC_0570,42,outputs/main/C3/SC_0570_42.json,False
1C1B3D8C,C3,SC_0243,42,outputs/main/C3/SC_0243_42.json,False
741A3EBB,C3,SC_0605,91,outputs/main/C3/SC_0605_91.json,False
1224199B,C3,SC_0725,17,outputs/main/C3/SC_0725_17.json,False
FA774552,C3,SC_1486,17,outputs/main/C3/SC_1486_17.json,False
D706E963,C3,SC_1954,17,outputs/main/C3/SC_1954_17.json,False
EFD5A21D,C3,SC_0795,17,outputs/main/C3/SC_0795_17.json,False
6E5F5998,C3,SC_0407,17,outputs/main/C3/SC_0407_17.json,False
2FA3F03E,C3,SC_0097,91,outputs/main/C3/SC_0097_91.json,False
49620023,C3,SC_1026,42,outputs/main/C3/SC_1026_42.json,False
D8517EC6,C3,SC_0046,17,outputs/main/C3/SC_0046_17.json,False
56809D42,C3,SC_0014,91,outputs/main/C3/SC_0014_91.json,False
EB166047,C3,SC_1026,91,outputs/main/C3/SC_1026_91.json,False
212818D3,C3,SC_1572,42,outputs/main/C3/SC_1572_42.json,False
DC67D301,C3,SC_0800,42,outputs/main/C3/SC_0800_42.json,False
6A3E0D42,C3,SC_0123,42,outputs/main/C3/SC_0123_42.json,False
112FDEF8,C3,SC_0570,91,outputs/main/C3/SC_0570_91.json,False
1D1CA75A,C3,SC_0746,91,outputs/main/C3/SC_0746_91.json,False
CCC611BE,C3,SC_1817,42,outputs/main/C3/SC_1817_42.json,False
485A0AF1,C3,SC_0265,42,outputs/main/C3/SC_0265_42.json,False
6A188171,C3,SC_0123,17,outputs/main/C3/SC_0123_17.json,False
6B95C3D6,C3,SC_2231,91,outputs/main/C3/SC_2231_91.json,False
